,subject_id,trial,wait,respkey,RT,target_type
0,1,0,1387,32,346,target_large
1,1,1,1912,32,14,target_small
2,1,2,1722,32,117,target_large
3,1,3,1140,32,323,target_small
4,1,4,1815,32,258,target_small
5,1,5,1809,32,101,target_small
6,1,6,1620,32,240,target_large
7,1,7,1441,32,247,target_large
8,1,8,1190,32,288,target_large
9,1,9,1541,32,221,target_large
10,2,0,1081,32,265,target_large
11,2,1,1740,32,56,target_small
12,2,2,1306,32,257,target_large
13,2,3,1830,32,276,target_large
14,2,4,1604,32,308,target_small
15,2,5,1768,32,246,target_large
16,2,6,1911,32,323,target_small
17,2,7,1127,32,341,target_large
18,2,8,1649,32,167,target_small
19,2,9,1851,32,200,target_large
20,3,0,1536,32,270,target_large
21,3,1,1490,32,238,target_small
22,3,2,1229,32,363,target_small
23,3,3,1239,32,245,target_small
24,3,4,1993,32,164,target_small
25,3,5,1238,32,295,target_small
26,3,6,1225,32,294,target_large
27,3,7,1815,32,218,target_small
28,3,8,1746,32,296,target_small
29,3,9,1120,32,296,target_small
